Label,Precision,Recall,F1 Score
本体,0.32312040700961,0.2896551724137931,0.3053580901856764
矿床知识本体,0.7142857142857143,0.7142857142857143,0.7142857142857143
副标题,0.30327868852459017,0.26811594202898553,0.2846153846153846
数据参数其他,0.6047523605538241,0.5100433664785821,0.5359783336744945
图表,0.966183574879227,0.9615384615384616,0.963855421686747
属性：数值(比例)等,0.7945891783567134,0.782051282051282,0.7882703777335983
品位,0.6818181818181818,0.8823529411764706,0.7692307692307693
储量,0.75,1.0,0.8571428571428571
地图术语、地质术语,0.31958762886597936,0.09144542772861357,0.14220183486238533
数据,0.6818181818181818,0.3488372093023256,0.4615384615384615
网距,1.0,1.0,1.0
参数,0.5851063829787234,0.26066350710900477,0.36065573770491804
分量,0.58,0.7837837837837838,0.6666666666666666
编号；代码,0.7623762376237624,0.6637931034482759,0.7096774193548387
数据统计术语,0.15,0.06666666666666667,0.09230769230769231
异常,0.5660377358490566,0.6,0.5825242718446602
重力异常范围,1.0,1.0,1.0
颜色,0.4067796610169492,0.5217391304347826,0.4571428571428572
化学参数，术语,0.3157894736842105,0.1256544502617801,0.17977528089887637
序列,0.0,0.0,0.0
公式,1.0,0.6666666666666666,0.8
温度范围,1.0,1.0,1.0
区域与位置,0.6395313213499938,0.391287183764248,0.48368501872572167
地理位置、方位、方向等,0.6346153846153846,0.36666666666666664,0.46478873239436613
矿区位置,0.5666666666666667,0.3333333333333333,0.4197530864197531
矿区,0.8,0.5454545454545454,0.6486486486486486
区域，矿集区,0.7714285714285715,0.4909090909090909,0.6
地层,0.4666666666666667,0.3888888888888889,0.42424242424242425
岩层,0.7058823529411765,0.6,0.6486486486486486
序列位置,0.3333333333333333,0.09090909090909091,0.14285714285714288
矿床基础知识,0.6900492205653014,0.5851520500676816,0.6027073874984008
矿床,0.7853403141361257,0.7936507936507936,0.7894736842105263
矿段,0.6666666666666666,0.5405405405405406,0.5970149253731343
矿带、岩石带等,1.0,0.08695652173913043,0.16
矿体分布,1.0,1.0,1.0
