Label,Precision,Recall,F1 Score
量度与比较,0.47958730817876977,0.2141732283464567,0.2867490613093954
约,1.0,0.16666666666666666,0.2857142857142857
从,0.4642857142857143,0.14130434782608695,0.21666666666666665
到向,0.7142857142857143,0.26515151515151514,0.3867403314917127
平均值,0.25,0.14423076923076922,0.18292682926829268
一致,0.35294117647058826,0.15384615384615385,0.21428571428571433
重要,1.0,0.45454545454545453,0.625
占,0.0,0.0,0.0
比较,0.5,0.05,0.09090909090909091
主要,0.47126436781609193,0.30597014925373134,0.3710407239819004
小于,0.3333333333333333,0.25,0.28571428571428575
只有,0.0,0.0,0.0
次要,0.6,0.375,0.4615384615384615
相似,0.6666666666666666,0.3333333333333333,0.4444444444444444
大于,0.42857142857142855,0.375,0.39999999999999997
超出,0.0,0.0,0.0
加权,0.16666666666666666,0.06666666666666667,0.09523809523809522
组成构成属性关系,0.4354669464804259,0.32134203987330007,0.3489945720527571
有,0.4010152284263959,0.45930232558139533,0.4281842818428184
为,0.157439446366782,0.16125221500295334,0.15932302305223225
包含,0.4224137931034483,0.4500574052812859,0.4357976653696498
的,0.5588235294117647,0.04668304668304668,0.08616780045351474
具有,0.502262443438914,0.19576719576719576,0.28172588832487305
和,0.7772972972972974,0.6042016806722689,0.6799054373522457
或,0.23076923076923078,0.1111111111111111,0.15
与,0.32857142857142857,0.2804878048780488,0.3026315789473685
以及,0.5,0.02857142857142857,0.05405405405405405
分为,0.7777777777777778,0.7291666666666666,0.7526881720430108
少数,0.4482758620689655,0.2708333333333333,0.33766233766233766
多数,0.25,0.024390243902439025,0.04444444444444444
部分,0.29411764705882354,0.1724137931034483,0.2173913043478261
其余,0.0,0.0,0.0
位置与地理关系,0.3853220069165221,0.2513479116047669,0.2953165804150087
在,0.39823008849557523,0.22388059701492538,0.28662420382165604
包围,0.0,0.0,0.0
延伸,0.5,0.15384615384615385,0.23529411764705882
以界,0.625,0.4166666666666667,0.5
接临相连,0.4,0.25,0.3076923076923077
分布于,0.39215686274509803,0.4166666666666667,0.40404040404040403
靠近,0.4,0.4,0.4000000000000001
之间,0.0,0.0,0.0
产于,0.35714285714285715,0.3125,0.3333333333333333
集中于,0.30434782608695654,0.23333333333333334,0.26415094339622636
夹,0.3076923076923077,0.2,0.24242424242424246
相伴,0.5,0.08333333333333333,0.14285714285714285
展开,0.0,0.0,0.0
围绕,0.4,0.6666666666666666,0.5
远离,0.3333333333333333,0.4,0.3636363636363636
穿切,0.5714285714285714,0.4,0.47058823529411764
沿着,0.4166666666666667,0.5555555555555556,0.4761904761904762
中心,0.5,0.3333333333333333,0.4
距离,1.0,1.0,1.0
平行于,0.16666666666666666,0.16666666666666666,0.16666666666666666
相遇,0.2,0.08333333333333333,0.11764705882352941
穿插,0.0,0.0,0.0
叠加在,0.3333333333333333,0.6666666666666666,0.4444444444444444
时间次序发展关系,0.7786538605732667,0.7078272604588394,0.7406029013185172
转到,0.8292682926829268,0.7456140350877193,0.7852193995381062
随着,0.3888888888888889,0.5384615384615384,0.45161290322580644
之前,0.0,0.0,0.0
之后,0.6521739130434783,0.5769230769230769,0.6122448979591837
持续,0.0,0.0,0.0
晚于,0.0,0.0,0.0
过程与机制,0.43090208252071666,0.32662192393736017,0.3641662390226215
发育,0.5490196078431373,0.4307692307692308,0.4827586206896552
用,0.16923076923076924,0.18333333333333332,0.17600000000000002
对,0.0,0.0,0.0
充填,0.25,0.2,0.22222222222222224
形成,0.4861111111111111,0.42168674698795183,0.4516129032258065
蚀变,0.0,0.0,0.0
矿化,0.0,0.0,0.0
出露,0.3888888888888889,0.2692307692307692,0.3181818181818182
通过,0.5833333333333334,0.4375,0.5
富集,0.5454545454545454,0.35294117647058826,0.42857142857142855
隐伏,0.6666666666666666,0.6666666666666666,0.6666666666666666
侵入,0.625,0.7142857142857143,0.6666666666666666
过渡,0.5,0.3333333333333333,0.4
计算,0.42857142857142855,0.27692307692307694,0.33644859813084116
迁移,0.0,0.0,0.0
赋存,0.38461538461538464,0.3125,0.3448275862068966
共生,0.5,0.4,0.4444444444444445
伴生,0.6666666666666666,0.6666666666666666,0.6666666666666666
产出,0.6,0.13043478260869565,0.21428571428571427
拟合,1.0,1.0,1.0
条件假设与逻辑推理,0.38986244214042615,0.3297980863936963,0.34848039626679334
相关,0.3888888888888889,0.30434782608695654,0.34146341463414637
来源于,0.5185185185185185,0.4827586206896552,0.5
可能,0.5714285714285714,0.46511627906976744,0.5128205128205128
成因,0.3333333333333333,0.09375,0.14634146341463417
刻画了，反映了,0.2857142857142857,0.2916666666666667,0.288659793814433
控制,0.6,0.75,0.6666666666666665
说明,0.19047619047619047,0.15584415584415584,0.17142857142857143
预测推测,0.2,0.08333333333333333,0.11764705882352941
受控于,0.4666666666666667,0.3181818181818182,0.3783783783783784
根据,0.3333333333333333,0.2682926829268293,0.2972972972972973
为例,0.0,0.0,0.0
无,0.3076923076923077,0.26666666666666666,0.28571428571428575
可见,0.5454545454545454,0.46153846153846156,0.4999999999999999
利于,0.5714285714285714,0.4444444444444444,0.5
认为,0.75,0.631578947368421,0.6857142857142857
影响,0.4,0.6666666666666666,0.5
提供,0.5294117647058824,0.6,0.5625
导致,0.40625,0.5416666666666666,0.46428571428571425
以条件,0.0,0.0,0.0
找寻,0.3333333333333333,0.16666666666666666,0.2222222222222222
结果表明,0.5,0.15384615384615385,0.23529411764705882
总结,1.0,0.5,0.6666666666666666
圈定,0.0,0.0,0.0
制作,0.0,0.0,0.0
